game,relationship,rating
pd0,friends,0.5823529412
pd0,strangers,0.3322638146
pd0,enemies,0.08538324421
pd1,friends,0.1675751714
pd1,strangers,0.4791630033
pd1,enemies,0.3532618252
pd3,friends,0.298782671
pd3,strangers,0.4314357322
pd3,enemies,0.2697815968
threat0,friends,0.5244052863
threat0,strangers,0.3795594714
threat0,enemies,0.09603524229
threat1,friends,0.3354700855
threat1,strangers,0.4674556213
threat1,enemies,0.1970742932
threat2,friends,0.1653999276
threat2,strangers,0.4158523344
threat2,enemies,0.418747738
threat3,friends,0.1341549296
threat3,strangers,0.4420774648
threat3,enemies,0.4237676056
disjunctive0,friends,0.5157055011
disjunctive0,strangers,0.3992022603
disjunctive0,enemies,0.08509223866
disjunctive3,friends,0.1308854533
disjunctive3,strangers,0.4388615601
disjunctive3,enemies,0.4302529866
coordination0,friends,0.5555187821
coordination0,strangers,0.3425450935
coordination0,enemies,0.1019361244
coordination1,friends,0.171225178
coordination1,strangers,0.3104158861
coordination1,enemies,0.5183589359
singleControl0,friends,0.5085634394
singleControl0,strangers,0.3201677735
singleControl0,enemies,0.1712687871
singleControl1,friends,0.1983621474
singleControl1,strangers,0.3923566879
singleControl1,enemies,0.4092811647
