game,relationship,rating
pd0,friends,1.000000
pd0,strangers,0.000000
pd0,enemies,0.000000
pd1,friends,0.000000
pd1,strangers,1.000000
pd1,enemies,0.000000
pd3,friends,0.000000
pd3,strangers,0.000000
pd3,enemies,1.000000
threat0,friends,1.000000
threat0,strangers,0.000000
threat0,enemies,0.000000
threat1,friends,0.000000
threat1,strangers,1.000000
threat1,enemies,0.000000
threat2,friends,0.000000
threat2,strangers,0.000000
threat2,enemies,1.000000
threat3,friends,0.000000
threat3,strangers,1.000000
threat3,enemies,0.000000
disjunctive0,friends,1.000000
disjunctive0,strangers,0.000000
disjunctive0,enemies,0.000000
disjunctive3,friends,0.000000
disjunctive3,strangers,0.000000
disjunctive3,enemies,1.000000
coordination0,friends,1.000000
coordination0,strangers,0.000000
coordination0,enemies,0.000000
coordination1,friends,0.000000
coordination1,strangers,0.000000
coordination1,enemies,1.000000
singleControl0,friends,1.000000
singleControl0,strangers,0.000000
singleControl0,enemies,0.000000
singleControl1,friends,0.000000
singleControl1,strangers,0.000000
singleControl1,enemies,1.000000
