game,relationship,rating
pd0,friends,1
pd0,strangers,0
pd0,enemies,0
pd1,friends,0
pd1,strangers,1
pd1,enemies,0
pd3,friends,0
pd3,strangers,0
pd3,enemies,1
threat0,friends,0.5
threat0,strangers,0.5
threat0,enemies,0
threat1,friends,0
threat1,strangers,1
threat1,enemies,0
threat2,friends,0
threat2,strangers,0
threat2,enemies,1
threat3,friends,0.333333
threat3,strangers,0.333333
threat3,enemies,0.3333
disjunctive0,friends,0.5
disjunctive0,strangers,0.5
disjunctive0,enemies,0
disjunctive3,friends,0
disjunctive3,strangers,0
disjunctive3,enemies,1
coordination0,friends,0.5
coordination0,strangers,0.5
coordination0,enemies,0
coordination1,friends,0
coordination1,strangers,0
coordination1,enemies,1
singleControl0,friends,1
singleControl0,strangers,0
singleControl0,enemies,0
singleControl1,friends,0
singleControl1,strangers,0
singleControl1,enemies,1
