game,relationship, rating
pd0,friends,0.503278
pd0,strangers,0.31871
pd0,enemies,0.178012
pd1,friends,0.333152
pd1,strangers,0.347108
pd1,enemies,0.319739
pd3,friends,0.188029
pd3,strangers,0.322316
pd3,enemies,0.489655
threat0,friends,0.443976
threat0,strangers,0.346145
threat0,enemies,0.20988
threat1,friends,0.304625
threat1,strangers,0.390749
threat1,enemies,0.304625
threat2,friends,0.359758
threat2,strangers,0.280485
threat2,enemies,0.359758
threat3,friends,0.227371
threat3,strangers,0.291653
threat3,enemies,0.480976
disjunctive0,friends,0.400775
disjunctive0,strangers,0.400775
disjunctive0,enemies,0.19845
disjunctive3,friends,0.237204
disjunctive3,strangers,0.237204
disjunctive3,enemies,0.525592
coordination0,friends,0.333333
coordination0,strangers,0.333333
coordination0,enemies,0.333333
coordination1,friends,0.333333
coordination1,strangers,0.333333
coordination1,enemies,0.333333
singleControl0,friends,0.434391
singleControl0,strangers,0.359732
singleControl0,enemies,0.205877
singleControl1,friends,0.223584
singleControl1,strangers,0.304664
singleControl1,enemies,0.471752
